Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
1,"CCAFS,SLC-40",Dragon Spacecraft Qualification Unit,,LEO,SpaceX,Success,F9 v1.0[7]B0003.1[8],Failure[9][10](parachute),4 June 2010,18:45
2,"CCAFS,SLC-40",Dragondemo flight C1(Dragon C101),,LEO(ISS),NASA(COTS)NRO,Success[9],F9 v1.0[7]B0004.1[8],Failure[9][14](parachute),8 December 2010,15:43
3,"CCAFS,SLC-40",Dragondemo flight C2+[18](Dragon C102),"525kg (1,157lb)[19]",LEO(ISS),NASA(COTS),Success[20],F9 v1.0[7]B0005.1[8],Noattempt,22 May 2012,07:44
4,"CCAFS,SLC-40",SpaceX CRS-1[22](Dragon C103),"4,700kg (10,400lb)",LEO(ISS),NASA(CRS),Success,F9 v1.0[7]B0006.1[8],No attempt,8 October 2012,00:35
5,"CCAFS,SLC-40",SpaceX CRS-2[22](Dragon C104),"4,877kg (10,752lb)",LEO(ISS),NASA(CRS),Success,F9 v1.0[7]B0007.1[8],Noattempt,1 March 2013,15:10
6,"VAFB,SLC-4E",CASSIOPE[22][31],"500kg (1,100lb)",Polar orbitLEO,MDA,Success[30],F9 v1.1[7]B1003[8],Uncontrolled(ocean)[d],29 September 2013,16:00
7,"CCAFS,SLC-40",SES-8[22][35][36],"3,170kg (6,990lb)",GTO,SES,Success[37],F9 v1.1B1004,Noattempt[38],3 December 2013,22:41
8,"CCAFS,SLC-40",Thaicom 6[22],"3,325kg (7,330lb)",GTO,Thaicom,Success[42],F9 v1.1,Noattempt[43],6 January 2014,22:06
9,"Cape Canaveral,LC-40",SpaceX CRS-3[22](Dragon C105),"2,296kg (5,062lb)[45]",LEO(ISS),NASA(CRS),Success,F9 v1.1,Controlled(ocean)[d][46],18 April 2014,19:25
10,"Cape Canaveral,LC-40",Orbcomm-OG2-1(6 satellites)[22],"1,316kg (2,901lb)",LEO,Orbcomm,Success[51],F9 v1.1,Controlled(ocean)[d][46],14 July 2014,15:15
